opcode_sequence,label
pop lea cmp pop nop sub,1
add cmp jmp lea and ret xor nop add jmp mov push add and add nop jmp and and,1
call or call push cmp sub lea ret,1
cmp pop nop push push push push or lea sub or,0
add cmp jmp and jmp and call jmp push pop or xor jmp pop nop,0
and jmp call nop mov jmp pop pop and,0
call lea push xor jmp nop add jmp ret push cmp add mov call ret,1
push call ret call or and call xor pop sub lea jmp xor pop add or call sub sub call,1
nop or jmp cmp add or ret call ret xor push and,0
and ret and or add nop ret lea ret ret or and lea cmp xor cmp nop and or,0
call nop cmp nop pop pop jmp xor or pop mov lea and lea pop nop sub pop,1
nop push or pop sub call nop pop sub mov nop,1
or xor ret or or or sub and and ret mov push sub nop jmp mov and add call or,0
call push nop push nop ret mov xor add sub pop or cmp ret call,1
cmp call push xor cmp sub pop call xor sub,1
call xor mov mov cmp push ret xor or call add,1
or xor sub mov mov and mov call lea add sub or add push cmp jmp,0
nop and ret nop jmp push,1
nop jmp pop cmp and lea cmp xor nop lea and sub nop jmp pop and and,1
call nop sub nop or jmp pop add or cmp,1
call or or xor ret or and cmp and,1
mov jmp pop jmp or ret sub sub push pop push or,0
push xor cmp mov pop call or pop call sub and ret push lea nop xor ret nop add,0
jmp call cmp mov call jmp add pop pop ret xor call add and sub sub sub,1
nop sub pop add xor push and sub cmp pop nop,1
call xor jmp nop cmp xor sub and push nop,1
cmp pop xor xor or pop ret nop mov call lea sub push add add lea,1
ret call sub or call and jmp,1
add nop add and nop jmp sub mov pop xor nop,0
push sub mov push and call cmp,0
cmp ret xor mov add add nop,0
ret lea pop and pop nop jmp lea add lea add add call cmp push add,0
jmp or call sub call mov pop push pop lea and push,1
and sub or xor jmp nop ret pop xor ret sub push cmp ret call xor xor,1
pop nop cmp lea or lea lea,0
or xor add push push ret and lea add sub add and or and jmp or,1
and push mov xor jmp or sub ret mov nop call call lea cmp call call push or call,0
jmp pop nop mov ret push cmp lea or ret push cmp ret and,1
or nop ret xor xor ret ret,0
pop cmp and and sub push call add call pop or,1
nop lea lea push mov or mov,0
call call push xor cmp or ret sub pop cmp or pop push add jmp,1
add ret mov pop call mov and or xor,0
